name,members
United States,129
Japan,35
China,25
United Kingdom,20
Germany,13
Switzerland,13
Canada,10
Netherlands,10
France,8
South Korea,8
Spain,6
Australia,5
Belgium,5
Italy,5
Ireland,4
Denmark,3
Finland,3
Israel,3
Sweden,3
Bulgaria,2
India,2
Taiwan,2
Austria,1
Brazil,1
Costa Rica,1
Greece,1
Hong Kong SAR China,1
Hungary,1
Kuwait,1
Morocco,1
New Zealand,1
Norway,1
Poland,1
Puerto Rico,1
Qatar,1
Senegal,1
South Africa,1
